country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,region_avg_happiness,region_avg_gdp,happiness_vs_region,happiness_zscore
Laos,Southeastern Asia,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,2015,5.317444444444444,0.7890544444444445,-0.44144444444444364,-0.49698448278188595
Mongolia,Eastern Asia,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,2015,5.626166666666666,1.15178,-0.7521666666666667,-0.498778353903769
Swaziland,Sub-Saharan Africa,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2015,4.2028,0.380473,0.6642000000000001,-0.5050569028303573
Greece,Western Europe,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397,2015,6.689619047619048,1.2985957142857143,-1.8326190476190476,-0.5140262584397693
Lebanon,Middle East and Northern Africa,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,2015,5.406899999999999,1.0669735,-0.567899999999999,-0.5301710985367112
Hungary,Central and Eastern Europe,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,2015,5.332931034482758,0.942438275862069,-0.5329310344827585,-0.5651515854134194
Honduras,Latin America and Caribbean,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,2015,6.144681818181818,0.8768154545454546,-1.3566818181818174,-0.5759148121447136
Tajikistan,Central and Eastern Europe,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,2015,5.332931034482758,0.942438275862069,-0.5469310344827587,-0.5777086832665967
Tunisia,Middle East and Northern Africa,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2015,5.406899999999999,1.0669735,-0.6678999999999995,-0.619864654630834
Palestinian Territories,Middle East and Northern Africa,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,2015,5.406899999999999,1.0669735,-0.6918999999999995,-0.6413911080934234
